Id,SalePrice
2658,150205.09692245538
2718,150149.79362290833
2414,220537.38515998793
1989,108933.15571431298
625,189705.47936903714
333,84241.20426866348
1327,103631.64769411199
858,136149.26283815445
95,170393.9428001719
1568,167938.59756087084
2482,156565.67306553948
1364,113554.92519551748
2584,147992.5756448576
818,259675.30609100635
2673,161458.98650809203
2089,138689.05491879824
1297,164113.73543257013
790,117840.45824784084
2616,187006.44512478946
720,190892.7449183513
222,177295.79899158323
557,136248.0518599284
1148,192779.62476567243
2766,164684.4807127808
534,176654.4030725278
1452,124669.43136666952
630,134161.3440784688
2648,117708.35062200573
125,142702.78685907956
1904,72727.21312541101
1670,114386.87305240857
756,89405.39345853328
717,197183.6800042418
1032,147229.0998998496
852,211952.42465585
1731,170778.31311679634
2639,123695.54066774018
2071,107127.24382982333
1267,143558.71409126907
1851,196793.98577839124
567,156670.4578783235
2439,220169.5071552823
1898,161420.1046245782
647,179846.96108162322
2256,225798.5484010487
979,95602.70287764598
1444,234461.35968140894
2485,135596.39361350785
157,134270.25679941138
88,112722.39506762041
2003,102457.88998260727
186,222566.11529539005
1425,245924.2925855107
2695,122529.26438787975
738,116657.90823761164
395,160107.70352717058
1353,172738.8688685649
1878,157029.6463912361
390,174918.564664101
1456,236595.3389047606
1103,266579.3316742558
1387,93973.40540428153
2070,153075.1616042687
1199,158182.35503313164
2479,173706.84161788685
501,284381.53664416884
2362,95761.44649258534
1718,178842.89741819882
2188,77576.92715730832
1483,170023.66003884867
2557,106540.62668961548
437,277075.22510887985
2224,185153.40105519886
1628,203985.8238963549
397,159403.87488639413
587,174879.46233951827
971,165351.81098113133
2611,130961.65163642858
1887,122139.53997395208
2399,291303.4499356118
2148,207930.9754525142
304,115258.06411296927
1997,140088.32400796277
2817,118262.39981748062
1431,186907.6232133835
427,283722.40180355695
263,133644.4096969664
598,157038.85654699095
2895,232583.39415501623
687,124748.1313017492
1822,153724.0282795047
2191,98263.6563741858
179,129134.45499179245
1009,228375.09432601536
2010,128797.489591522
1991,147160.71333060644
1411,148133.5881540365
1721,219604.32126142265
1144,195325.73590026068
593,224911.1950833033
575,271180.3960391508
1249,180869.1585467783
1604,136854.0269992415
1064,282149.0222392691
1923,146515.88864225685
1988,108689.20696974735
2325,185442.62759013608
114,191643.58281076828
2700,124967.36761326145
217,138884.25115955833
343,185471.87320293463
386,235679.10787820362
2005,136621.81030299072
2908,129310.00039731053
1814,199692.72827885151
2446,323598.04038078774
208,156074.4474969795
1679,124196.93601509201
822,281890.7387795619
6,190163.12986451067
1781,286712.73755585344
2397,268597.6190532267
2340,255454.00506010253
1618,152763.06620980287
2843,145187.70828786845
1061,310891.52973423747
2786,127294.89531309996
1935,145524.50099684577
1341,136659.48554225283
521,266315.3917136271
2136,148790.8013405446
996,201421.85038913766
227,156403.8123842597
135,176826.32625695746
1167,153535.40567201664
294,221907.66609585338
1776,178518.08885108298
540,164695.16530054298
1717,179457.27155730143
2303,139054.40574540317
116,176991.84531281213
127,140924.33629391764
1371,125817.25725908129
1014,140555.12538592124
1507,115639.4999272222
702,138811.80528581387
750,146956.8158542771
261,153513.99802102108
1559,88132.1577087042
577,173449.29878395976
2812,198566.81439201036
2080,126790.91807255617
1368,111478.5374488314
2376,131794.06734727995
659,122055.84583509064
1235,144226.43617967505
332,79565.9093585955
1917,140231.50234378356
2094,243603.72453479306
1460,254876.59312803944
1471,206318.14279680542
1509,108839.65035793529
1922,119578.88496087809
433,292611.6136052961
460,255271.1701297749
1116,230565.13274531596
1137,158457.70036590876
53,177153.0711584268
2354,235272.33408932644
1475,183055.42012337042
1761,332560.6806494646
842,144480.6920725344
2739,139004.888660495
2509,157071.81129146952
1007,209311.85309928714
2610,165603.42860735333
1952,106760.26886422466
2719,145317.62647645985
2921,85209.1390089083
1966,135635.7825474969
292,127628.62892868009
1204,184459.35353503455
1829,246102.48266257916
2419,192609.12079536798
